date,cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,3
2020-01-26,0
2020-01-27,1
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,2
2020-03-02,3
2020-03-03,6
2020-03-04,6
2020-03-05,3
2020-03-06,7
2020-03-07,1
2020-03-08,7
2020-03-09,13
2020-03-10,6
2020-03-11,14
2020-03-12,13
2020-03-13,15
2020-03-14,19
2020-03-15,30
2020-03-16,25
2020-03-17,54
2020-03-18,39
2020-03-19,49
2020-03-20,67
2020-03-21,106
2020-03-22,89
2020-03-23,113
2020-03-24,135
2020-03-25,139
2020-03-26,131
2020-03-27,155
2020-03-28,94
2020-03-29,87
2020-03-30,55
2020-03-31,97
2020-04-01,86
2020-04-02,67
2020-04-03,83
2020-04-04,57
2020-04-05,48
2020-04-06,23
2020-04-07,30
2020-04-08,38
2020-04-09,31
2020-04-10,19
2020-04-11,13
2020-04-12,4
2020-04-13,5
2020-04-14,19
2020-04-15,18
2020-04-16,19
2020-04-17,7
2020-04-18,17
2020-04-19,7
2020-04-20,2
2020-04-21,4
2020-04-22,2
2020-04-23,7
2020-04-24,14
2020-04-25,3
2020-04-26,0
2020-04-27,5
2020-04-28,9
2020-04-29,3
2020-04-30,11
2020-05-01,2
2020-05-02,2
2020-05-03,1
2020-05-04,4
2020-05-05,4
2020-05-06,3
2020-05-07,2
2020-05-08,3
2020-05-09,1
2020-05-10,0
2020-05-11,0
2020-05-12,3
2020-05-13,3
2020-05-14,3
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,1
2020-05-19,2
2020-05-20,1
2020-05-21,3
2020-05-22,0
2020-05-23,1
2020-05-24,1
2020-05-25,1
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,2
2020-05-31,4
2020-06-01,4
2020-06-02,1
2020-06-03,2
2020-06-04,3
2020-06-05,0
2020-06-06,1
2020-06-07,2
2020-06-08,0
2020-06-09,3
2020-06-10,0
2020-06-11,3
2020-06-12,3
2020-06-13,8
2020-06-14,5
2020-06-15,0
2020-06-16,0
2020-06-17,2
2020-06-18,1
2020-06-19,1
2020-06-20,0
2020-06-21,1
2020-06-22,1
2020-06-23,6
2020-06-24,4
2020-06-25,3
2020-06-26,5
2020-06-27,4
2020-06-28,3
2020-06-29,2
2020-06-30,8
2020-07-01,2
2020-07-02,1
2020-07-03,7
2020-07-04,8
2020-07-05,3
2020-07-06,3
2020-07-07,2
2020-07-08,5
2020-07-09,7
2020-07-10,4
2020-07-11,1
2020-07-12,12
2020-07-13,13
2020-07-14,8
2020-07-15,5
2020-07-16,7
2020-07-17,8
2020-07-18,13
2020-07-19,15
2020-07-20,13
2020-07-21,13
2020-07-22,10
2020-07-23,7
2020-07-24,16
2020-07-25,13
2020-07-26,6
2020-07-27,13
2020-07-28,20
2020-07-29,13
2020-07-30,19
2020-07-31,14
2020-08-01,13
2020-08-02,7
2020-08-03,13
2020-08-04,8
2020-08-05,12
2020-08-06,9
2020-08-07,7
2020-08-08,13
2020-08-09,12
2020-08-10,17
2020-08-11,15
2020-08-12,6
2020-08-13,12
2020-08-14,7
2020-08-15,6
2020-08-16,5
2020-08-17,2
2020-08-18,8
2020-08-19,1
2020-08-20,5
